DEPTH	LITH
4252.7	y
4252.8	y
4252.9	y
4253	y
4253.1	y
4253.2	y
4253.3	y
4253.4	y
4253.5	y
4253.6	y
4253.7	y
4253.8	y
4253.9	y
4254	y
4254.1	y
4254.2	y
4254.3	y
4254.4	y
4254.5	y
4254.6	y
4254.7	y
4254.8	y
4254.9	y
4255	y
4255.1	y
4255.2	y
4255.3	y
4255.4	y
4255.5	y
4255.6	f
4255.7	f
4255.8	f
4255.9	f
4256	f
4256.1	f
4256.2	f
4256.3	f
4256.4	f
4256.5	f
4256.6	f
4256.7	f
4256.8	f
4256.9	f
4257	a
4257.1	a
4257.2	a
4257.3	a
4257.4	a
4257.5	a
4257.6	a
4257.7	a
4257.8	a
4257.9	a
4258	a
4258.1	a
4258.2	a
4258.3	a
4258.4	a
4258.5	a
4258.6	a
4258.7	a
4258.8	a
4258.9	a
4259	a
4259.1	a
4259.2	a
4259.3	a
4259.4	a
4259.5	a
4259.6	a
4259.7	a
4259.8	a
4259.9	a
4260	a
4260.1	a
4260.2	a
4260.3	a
4260.4	a
4260.5	a
4260.6	a
4260.7	a
4260.8	a
4260.9	a
4261	a
4261.1	a
4261.2	a
4261.3	a
4261.4	a
4261.5	a
4261.6	a
4261.7	a
4261.8	a
4261.9	a
4262	a
4262.1	a
4262.2	a
4262.3	a
4262.4	a
4262.5	a
4262.6	a
4262.7	a
4262.8	a
4262.9	a
4263	a
4263.1	a
4263.2	a
4263.3	a
4263.4	a
4263.5	u
4263.6	u
4263.7	u
4263.8	u
4263.9	u
4264	u
4264.1	a
4264.2	a
4264.3	a
4264.4	a
4264.5	a
4264.6	a
4264.7	a
4264.8	a
4264.9	a
4265	a
4265.1	a
4265.2	a
4265.3	a
4265.4	a
4265.5	a
4265.6	a
4265.7	a
4265.8	a
4265.9	a
4266	a
4266.1	a
4266.2	a
4266.3	a
4266.4	a
4266.5	a
4266.6	a
4266.7	a
4266.8	a
4266.9	a
4267	a
4267.1	a
4267.2	a
4267.3	a
4267.4	a
4267.5	a
4267.6	a
4267.7	a
4267.8	a
4267.9	a
4268	a
4268.1	a
4268.2	a
4268.3	a
4268.4	a
4268.5	a
4268.6	a
4268.7	a
4268.8	a
4268.9	a
4269	a
4269.1	a
4269.2	a
4269.3	a
4269.4	a
4269.5	a
4269.6	a
4269.7	a
4269.8	a
4269.9	a
4270	a
4270.1	a
4270.2	a
4270.3	a
4270.4	a
4270.5	a
4270.6	a
4270.7	a
4270.8	a
4270.9	a
4271	a
4271.1	a
4271.2	a
4271.3	u
4271.4	u
4271.5	u
4271.6	u
4271.7	u
4271.8	u
4271.9	u
4272	u
4272.1	f
4272.2	f
4272.3	f
4272.4	f
4272.5	f
4272.6	f
4272.7	f
4272.8	f
4272.9	f
4273	f
4273.1	f
4273.2	f
4273.3	f
4273.4	f
4273.5	f
4273.6	f
4273.7	f
4273.8	f
4273.9	f
4274	f
4274.1	a
4274.2	a
4274.3	a
4274.4	a
4274.5	a
4274.6	a
4274.7	a
4274.8	a
4274.9	a
4275	a
4275.1	a
4275.2	a
4275.3	a
4275.4	a
4275.5	a
4275.6	a
4275.7	a
4275.8	a
4275.9	a
4276	a
4276.1	a
4276.2	a
4276.3	a
4276.4	a
4276.5	a
4276.6	a
4276.7	a
4276.8	a
4276.9	a
4277	a
4277.1	a
4277.2	a
4277.3	a
4277.4	a
4277.5	a
4277.6	a
4277.7	a
4277.8	a
4277.9	a
4278	a
4278.1	a
4278.2	a
4278.3	y
4278.4	y
4278.5	y
4278.6	y
4278.7	y
4278.8	y
4278.9	y
4279	y
4279.1	y
4279.2	y
4279.3	y
4279.4	y
4279.5	y
4279.6	y
4279.7	y
4279.8	y
4279.9	y
4280	y
4280.1	y
4280.2	y
4280.3	y
4280.4	y
4280.5	y
4280.6	y
4280.7	y
4280.8	y
4280.9	y
4281	y
4281.1	y
4281.2	y
4281.3	y
4281.4	y
4281.5	y
4281.6	y
4281.7	y
4281.8	y
4281.9	y
4282	y
4282.1	y
4282.2	y
4282.3	y
4282.4	y
4282.5	a
4282.6	a
4282.7	a
4282.8	a
4282.9	a
4283	a
4283.1	a
4283.2	a
4283.3	a
4283.4	a
4283.5	a
4283.6	a
4283.7	a
4283.8	a
4283.9	a
4284	a
4284.1	a
4284.2	a
4284.3	a
4284.4	a
4284.5	a
4284.6	a
4284.7	a
4284.8	a
4284.9	a
4285	a
4285.1	a
4285.2	a
4285.3	a
4285.4	a
4285.5	a
4285.6	a
4285.7	a
4285.8	a
4285.9	a
4286	a
4286.1	a
4286.2	a
4286.3	a
4286.4	a
4286.5	a
4286.6	a
4286.7	a
4286.8	a
4286.9	a
4287	a
4287.1	a
4287.2	a
4287.3	a
4287.4	a
4287.5	a
4287.6	a
4287.7	a
4287.8	a
4287.9	a
4288	a
4288.1	a
4288.2	a
4288.3	a
4288.4	a
4288.5	a
4288.6	a
4288.7	a
4288.8	a
4288.9	a
4289	a
4289.1	a
4289.2	a
4289.3	a
4289.4	a
4289.5	a
4289.6	a
4289.7	a
4289.8	a
4289.9	a
4290	a
4290.1	a
4290.2	a
4290.3	a
4290.4	a
4290.5	a
4290.6	a
4290.7	a
4290.8	a
4290.9	a
4291	a
4291.1	a
4291.2	a
4291.3	a
4291.4	a
4291.5	a
4291.6	a
4291.7	a
4291.8	a
4291.9	a
4292	a
4292.1	a
4292.2	a
4292.3	a
4292.4	a
4292.5	a
4292.6	a
4292.7	a
4292.8	a
4292.9	a
4293	a
4293.1	a
4293.2	a
4293.3	a
4293.4	a
4293.5	a
4293.6	a
4293.7	a
4293.8	a
4293.9	a
4294	a
4294.1	a
4294.2	a
4294.3	a
4294.4	a
4294.5	a
4294.6	a
4294.7	a
4294.8	a
4294.9	a
4295	a
4295.1	a
4295.2	a
4295.3	a
4295.4	a
4295.5	a
4295.6	a
4295.7	a
4295.8	a
4295.9	a
4296	a
4296.1	a
4296.2	a
4296.3	a
4296.4	a
4296.5	a
4296.6	a
4296.7	a
4296.8	a
4296.9	a
4297	a
4297.1	a
4297.2	a
4297.3	a
4297.4	a
4297.5	a
4297.6	a
4297.7	a
4297.8	a
4297.9	a
4298	a
4298.1	a
4298.2	a
4298.3	a
4298.4	a
4298.5	a
4298.6	a
4298.7	a
4298.8	a
4298.9	a
4299	a
4299.1	a
4299.2	a
4299.3	a
4299.4	a
4299.5	a
4299.6	a
4299.7	a
4299.8	a
4299.9	a
4300	a
4300.1	a
4300.2	a
4300.3	a
4300.4	a
4300.5	a
4300.6	a
4300.7	a
4300.8	a
4300.9	a
4301	a
4301.1	a
4301.2	a
4301.3	a
4301.4	a
4301.5	a
4301.6	a
4301.7	a
4301.8	a
4301.9	a
4302	a
4302.1	a
4302.2	a
4302.3	a
4302.4	a
4302.5	a
4302.6	a
4302.7	a
4302.8	a
4302.9	a
4303	a
4303.1	a
4303.2	a
4303.3	a
4303.4	a
4303.5	a
4303.6	a
4303.7	a
4303.8	a
4303.9	a
4304	a
4304.1	a
4304.2	a
4304.3	a
4304.4	a
4304.5	a
4304.6	a
4304.7	a
4304.8	a
4304.9	a
4305	a
4305.1	a
4305.2	a
4305.3	a
4305.4	a
4305.5	a
4305.6	a
4305.7	a
4305.8	a
4305.9	a
4306	a
4306.1	a
4306.2	a
4306.3	a
4306.4	a
4306.5	a
4306.6	a
4306.7	a
4306.8	a
4306.9	a
4307	a
4307.1	a
4307.2	a
4307.3	a
4307.4	a
4307.5	a
4307.6	a
4307.7	a
4307.8	a
